name,last,high,low,chg.,change_pct,volume,time,sector
Qalaa Holdings,2.8,2.85,2.78,-0.04,-0.0141,6.15M,28/08,Industrials
Commercial Int Bank,97.13,98.98,97.0,-0.86,-0.0088,1.42M,28/08,Financials
Egyptian Kuwaiti Hld,0.711,0.717,0.711,-0.004,-0.0056,111.22K,28/08,Conglomerates
Telecom Egypt,46.33,47.0,45.86,-0.46,-0.0098,429.99K,28/08,Telecommunications
EFG Hermes Holdings,26.09,26.2,25.7,0.29,0.0112,4.64M,28/08,Financials
Palm Hills Develop,8.09,8.1,7.75,0.34,0.0439,21.8M,28/08,Real Estate
Sidi Kerir,19.13,19.15,19.01,0.1,0.0053,430.38K,28/08,Energy
T M G Holding,55.46,55.46,54.25,0.46,0.0084,1.36M,28/08,Real Estate
GB AUTO,25.5,25.51,24.9,0.33,0.0131,445.92K,28/08,Consumer Discretionary
Madinet Nasr for Housing and Development,4.3,4.31,4.23,0.04,0.0094,4.14M,28/08,Real Estate
Oriental Weavers,22.7,22.86,22.55,0.1,0.0044,536.16K,28/08,Consumer Discretionary
Raya Holding,3.17,3.21,3.16,0.0,0.0,5.5M,28/08,Technology
Abu Qir Fertilizers and Chemical Industries,52.59,52.59,51.96,0.48,0.0092,295.44K,28/08,Materials
Misr Cement,81.4,84.99,80.5,-2.33,-0.0278,154.5K,28/08,Materials
Alexandria Mineral Oils,7.4,7.47,7.38,0.02,0.0027,3.41M,28/08,Energy
Credit Agricole Egypt,18.62,18.84,18.52,-0.05,-0.0027,84.56K,28/08,Financials
Eastern Tobacco,38.7,39.0,37.52,-0.3,-0.0077,579.06K,28/08,Consumer Staples
Beltone Financial Hld,3.14,3.19,3.12,-0.01,-0.0032,43.78M,28/08,Financials
Egypt Aluminum,159.6,159.9,158.09,1.51,0.0096,45.74K,28/08,Materials
Juhayna Food,27.12,27.14,26.32,0.74,0.0281,649.51K,28/08,Consumer Staples
Orascom Hotels,23.18,23.33,22.86,0.33,0.0144,1.13M,28/08,Real Estate
Abu Dhabi Islamic Bank,21.2,21.28,21.17,0.04,0.0019,556.75K,28/08,Financials
Arabian Cement Co SAE,40.71,41.6,40.15,0.54,0.0134,248.02K,28/08,Materials
Orascom Construction Ltd,389.99,389.99,386.05,1.99,0.0051,94.48K,28/08,Industrials
Emaar Misr for Development SAE,8.34,8.4,8.25,0.07,0.0085,3.31M,28/08,Real Estate
Misr Fertilizers,27.51,27.8,27.41,0.01,0.0004,469.15K,28/08,Materials
Ibnsina Pharma,10.78,10.82,10.59,0.13,0.0122,2.72M,28/08,Healthcare
Fawry Banking and Payment,13.8,13.8,13.32,0.31,0.023,2.07M,28/08,Technology
Tenth of Ramadan,4.28,4.37,4.26,-0.03,-0.007,3.73M,28/08,Industrials
Egypt Kuwait Holding,24.99,25.3,24.89,-0.08,-0.0032,628.93K,28/08,Conglomerates
E-finance,13.89,13.9,13.68,0.19,0.0139,1.39M,28/08,Technology
